"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"35234","2","1","1","1939","1","9","1"
"35234","2","1","1","1939","1","9","3"
"35234","2","2","2","1945","1","9","1"
"35234","2","2","2","1945","1","9","3"
"35319","1","1","2","1937","4","13","4"
"35322","2","1","1","1929","1","13","1"
"35322","2","1","1","1929","1","13","1"
"35322","2","2","2","1937","1","13","1"
"35322","2","2","2","1937","1","13","1"
"35323","2","1","2","1937","1","13","1"
"35323","2","1","2","1937","1","13","1"
"35323","2","2","1","1937","1","13","1"
"35323","2","2","1","1937","1","13","1"
"35326","2","1","1","1936","2","18","2"
"35326","2","1","1","1936","2","18","2"
"35326","2","2","2","1932","2","18","2"
"35326","2","2","2","1932","2","18","2"
"35340","1","1","2","1938","4","18","1"
"35349","1","1","2","1932","4","18","2"
"35355","1","1","2","1933","4","18","1"
"35370","1","1","1","1928","3","18","1"
"35372","3","1","2","1955","1","18","1"
"35372","3","1","2","1955","1","18","2"
"35372","3","1","2","1955","1","18","3"
"35372","3","2","1","1949","1","18","1"
"35372","3","2","1","1949","1","18","2"
"35372","3","2","1","1949","1","18","3"
"35372","3","3","1","1976","2","18","1"
"35372","3","3","1","1976","2","18","2"
"35372","3","3","1","1976","2","18","3"
"35374","4","1","2","1983","2","18","3"
"35374","4","1","2","1983","2","18","1"
"35374","4","2","2","1953","4","18","3"
"35374","4","2","2","1953","4","18","1"
"35374","4","3","1","1988","2","18","3"
"35374","4","3","1","1988","2","18","1"
"35374","4","4","2","1988","2","18","3"
"35374","4","4","2","1988","2","18","1"
"35379","2","1","1","1949","1","18","3"
"35379","2","2","2","1957","1","18","3"
"35502","2","1","2","1957","1","19","1"
"35502","2","1","2","1957","1","19","1"
"35502","2","2","1","1951","1","19","1"
"35502","2","2","1","1951","1","19","1"
"35507","3","1","2","1963","2","19","2"
"35507","3","1","2","1963","2","19","3"
"35507","3","2","1","1937","1","19","2"
"35507","3","2","1","1937","1","19","3"
"35507","3","3","2","1941","1","19","2"
"35507","3","3","2","1941","1","19","3"
"35508","6","1","2","1965","4","19","1"
"35508","6","2","1","1993","2","19","1"
"35508","6","3","1","1994","2","19","1"
"35508","6","4","1","1998","2","19","1"
"35508","6","5","1","2004","2","19","1"
"35508","6","6","1","2008","2","19","1"
"35518","1","1","2","1938","4","19","4"
"35600","1","1","2","1930","4","19","1"
"35640","2","1","1","1946","1","9","1"
"35640","2","1","1","1946","1","9","3"
"35640","2","2","2","1945","1","9","1"
"35640","2","2","2","1945","1","9","3"
"35682","2","1","1","1949","1","5","9"
"35682","2","1","1","1949","1","5","2"
